date,amount,description
2024-01-01,175.89,Utilities - Water Bill
2024-01-02,372.36,Travel - Vacation Package
2024-01-03,638.07,Education - Books
2024-01-16,225.8,Home Maintenance - Gardening
2024-01-27,21.11,Subscriptions - Membership Fee
2024-01-27,226.16,Education - Online Course
2024-01-30,21.61,Dining Out - Caf�
2024-02-01,69.65,Entertainment - Streaming Service
2024-02-06,55.09,Utilities - Electricity Bill
2024-02-06,247.68,Shopping - Home Goods
2024-02-07,205.16,Utilities - Gas Bill
2024-02-08,189.84,Groceries - Supermarket
2024-02-14,61.72,Groceries - Convenience Store
2024-02-17,39.74,Groceries - Convenience Store
2024-02-18,99.43,Education - Tuition
2024-02-23,212.13,Insurance - Life Insurance
2024-02-24,150.4,Utilities - Gas Bill
2024-02-27,75.9,Miscellaneous - Pet Supplies
2024-03-13,90.12,Transportation - Taxi/Uber
2024-03-16,52.21,Dining Out - Restaurant
2024-03-16,1793.68,Rent/Mortgage - Mortgage Payment
2024-03-20,168.78,Utilities - Internet Bill
2024-03-24,20.23,Groceries - Supermarket
2024-03-31,410.19,Healthcare - Dental Care
2024-04-02,74.28,Transportation - Public Transit
2024-04-05,279.9,Utilities - Phone Bill
2024-04-06,504.22,Education - Books
2024-04-09,29.79,Entertainment - Sports Event
2024-04-09,90.99,Gifts - Birthday Present
2024-04-11,39.57,Entertainment - Streaming Service
2024-04-12,53.12,Entertainment - Streaming Service
2024-04-22,155.57,Gifts - Charity Donation
2024-04-25,94.56,Miscellaneous - Unexpected Expense
2024-05-03,33.92,Shopping - Home Goods
2024-05-05,1406.74,Rent/Mortgage - Monthly Rent
2024-05-08,179.41,Home Maintenance - Furniture
2024-05-13,60.73,Transportation - Car Maintenance
2024-05-15,293.23,Utilities - Water Bill
2024-05-21,68.8,Miscellaneous - Unexpected Expense
2024-05-23,98.56,Miscellaneous - Unexpected Expense
2024-05-25,53.6,Entertainment - Streaming Service
2024-05-31,114.08,Utilities - Phone Bill
2024-06-09,92.8,Gifts - Holiday Gift
2024-06-13,994.25,Rent/Mortgage - Monthly Rent
2024-06-20,433.71,Insurance - Health Insurance
2024-06-21,473.65,Home Maintenance - Repairs
2024-06-22,118.26,Groceries - Supermarket
2024-06-24,297.52,Shopping - Clothing
2024-06-27,75.43,Miscellaneous - Pet Supplies
2024-06-28,128.82,Gifts - Charity Donation
2024-06-29,133.75,Dining Out - Food Delivery
2024-06-29,2444.18,Rent/Mortgage - Housing Fee
2024-07-05,44.02,Gifts - Birthday Present
2024-07-07,240.0,Home Maintenance - Furniture
2024-07-14,195.04,Gifts - Charity Donation
2024-07-14,273.93,Healthcare - Doctor Visit
2024-07-26,261.81,Shopping - Books
2024-08-03,835.43,Travel - Hotel Stay
2024-08-03,520.37,Education - Books
2024-08-13,121.15,Education - Books
2024-08-18,262.58,Healthcare - Doctor Visit
2024-08-19,17.22,Subscriptions - Software License
2024-08-30,439.9,Home Maintenance - Gardening
2024-09-09,529.1,Home Maintenance - Furniture
2024-09-09,492.12,Insurance - Life Insurance
2024-09-10,28.82,Transportation - Public Transit
2024-09-18,383.78,Home Maintenance - Gardening
2024-09-20,71.42,Entertainment - Movie Tickets
2024-09-21,130.79,Home Maintenance - Repairs
2024-09-25,105.09,Gifts - Holiday Gift
2024-10-02,339.15,Shopping - Books
2024-10-02,57.55,Transportation - Fuel
2024-10-03,123.98,Groceries - Convenience Store
2024-10-13,185.97,Groceries - Farmer's Market
2024-10-13,232.9,Utilities - Internet Bill
2024-10-23,175.74,Groceries - Farmer's Market
2024-10-28,68.98,Groceries - Bulk Food Store
2024-10-28,164.75,Groceries - Farmer's Market
2024-11-01,51.89,Dining Out - Food Delivery
2024-11-02,42.28,Shopping - Electronics
2024-11-24,29.65,Gifts - Birthday Present
2024-12-08,765.07,Education - Online Course
2024-12-12,42.34,Subscriptions - Software License
2024-12-12,146.52,Groceries - Supermarket
2024-12-18,2418.26,Rent/Mortgage - Monthly Rent
2024-12-29,393.82,Home Maintenance - Furniture
2025-01-11,210.79,Healthcare - Eye Care
2025-01-13,96.6,Gifts - Birthday Present
2025-01-17,2161.33,Rent/Mortgage - Mortgage Payment
2025-01-18,310.6,Insurance - Health Insurance
2025-01-19,144.29,Utilities - Water Bill
2025-01-26,306.81,Insurance - Health Insurance
2025-02-15,197.15,Utilities - Electricity Bill
2025-02-19,111.38,Gifts - Anniversary Gift
2025-02-21,207.19,Healthcare - Doctor Visit
2025-02-22,1103.26,Travel - Car Rental
2025-02-28,97.48,Dining Out - Caf�
2025-03-12,519.21,Home Maintenance - Gardening
2025-03-16,644.68,Travel - Car Rental
2025-03-18,21.07,Subscriptions - Digital Service
